2024-07-17T16:31:01.583+05:30  INFO 18832 --- [ibi-bank-user-service] [restartedMain] c.i.r.b.IbiBankUserServiceApplication    : Starting IbiBankUserServiceApplication using Java 17.0.10 with PID 18832 (D:\learning\reactive-bank\ibi-bank-user-service\target\classes started by vatss in D:\learning\reactive-bank\ibi-bank-user-service)
2024-07-17T16:31:01.587+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] c.i.r.b.IbiBankUserServiceApplication    : Running with Spring Boot v3.3.1, Spring v6.1.10
2024-07-17T16:31:01.587+05:30  INFO 18832 --- [ibi-bank-user-service] [restartedMain] c.i.r.b.IbiBankUserServiceApplication    : No active profile set, falling back to 1 default profile: "default"
2024-07-17T16:31:01.588+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.boot.SpringApplication               : Loading source class com.ibi.reactive.bank.IbiBankUserServiceApplication
2024-07-17T16:31:01.595+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] onfigReactiveWebServerApplicationContext : Refreshing org.springframework.boot.web.reactive.context.AnnotationConfigReactiveWebServerApplicationContext@6f26bab6
2024-07-17T16:31:01.596+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2024-07-17T16:31:01.597+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2024-07-17T16:31:01.605+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\learning\reactive-bank\ibi-bank-user-service\target\classes\com\ibi\reactive\bank\config\JwtTokenProvider.class]
2024-07-17T16:31:01.606+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\learning\reactive-bank\ibi-bank-user-service\target\classes\com\ibi\reactive\bank\config\JwtTokenValidator.class]
2024-07-17T16:31:01.609+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\learning\reactive-bank\ibi-bank-user-service\target\classes\com\ibi\reactive\bank\config\WebSecurityConfig.class]
2024-07-17T16:31:01.611+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\learning\reactive-bank\ibi-bank-user-service\target\classes\com\ibi\reactive\bank\controllers\AuthController.class]
2024-07-17T16:31:01.612+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\learning\reactive-bank\ibi-bank-user-service\target\classes\com\ibi\reactive\bank\controllers\UserController.class]
2024-07-17T16:31:01.617+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\learning\reactive-bank\ibi-bank-user-service\target\classes\com\ibi\reactive\bank\repositories\UserRepository.class]
2024-07-17T16:31:01.618+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\learning\reactive-bank\ibi-bank-user-service\target\classes\com\ibi\reactive\bank\serviceImpl\AuthServiceImpl.class]
2024-07-17T16:31:01.618+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\learning\reactive-bank\ibi-bank-user-service\target\classes\com\ibi\reactive\bank\serviceImpl\UserServiceImpl.class]
2024-07-17T16:31:01.619+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\learning\reactive-bank\ibi-bank-user-service\target\classes\com\ibi\reactive\bank\services\UserServices.class]
2024-07-17T16:31:01.731+05:30  INFO 18832 --- [ibi-bank-user-service] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data Reactive MongoDB repositories in DEFAULT mode.
2024-07-17T16:31:01.731+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2024-07-17T16:31:01.732+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.ibi.reactive.bank'. Automatic @Repository and @Entity scanning is enabled.
2024-07-17T16:31:01.732+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for Reactive MongoDB repositories in packages com.ibi.reactive.bank.
2024-07-17T16:31:01.737+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\learning\reactive-bank\ibi-bank-user-service\target\classes\com\ibi\reactive\bank\repositories\UserRepository.class]
2024-07-17T16:31:01.741+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [D:\learning\reactive-bank\ibi-bank-user-service\target\classes\com\ibi\reactive\bank\serviceImpl\AuthServiceImpl.class]
2024-07-17T16:31:01.741+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] ssPathScanningCandidateComponentProvider : Identified candidate component class: file [D:\learning\reactive-bank\ibi-bank-user-service\target\classes\com\ibi\reactive\bank\serviceImpl\UserServiceImpl.class]
2024-07-17T16:31:01.743+05:30  INFO 18832 --- [ibi-bank-user-service] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 10 ms. Found 1 Reactive MongoDB repository interface.
2024-07-17T16:31:01.772+05:30 DEBUG 18832 --- [ibi-bank-user-service] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
